book_id,chap_id,term_str,n,tf,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
0,1,efficient,1,0.003236245954692557,0.019368586108769553,JJ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,entertaining,1,0.003236245954692557,0.014789176725990123,VBG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,excellent,2,0.006472491909385114,0.009594775191460249,JJ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,1,explain,3,0.009708737864077669,0.01265115599646647,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,fault,5,0.016181229773462782,0.028519428580474813,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,1,fear,1,0.003236245954692557,0.003646964765314627,NN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,fight,1,0.003236245954692557,0.004156807085659221,NN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,finally,1,0.003236245954692557,0.0020302301067692814,RB,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0,1,foreseen,1,0.003236245954692557,0.016132340154076996,JJ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,found,2,0.006472491909385114,0.001260946129346428,VBD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,1,gloomy,1,0.003236245954692557,0.009858555508977136,JJ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,1,glow,1,0.003236245954692557,0.008776293246612868,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,1,good,5,0.016181229773462782,0.0010042227853115154,JJ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,1,government,3,0.009708737864077669,0.058105758326308654,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,gray,1,0.003236245954692557,0.004936768572726519,JJ,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,green,8,0.025889967637540454,0.017476707961760634,JJ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,1,grief,1,0.003236245954692557,0.010750576358858777,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,1,grim,1,0.003236245954692557,0.009286135566957463,NNP,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,1,grin,1,0.003236245954692557,0.006622309554284579,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,1,guard,1,0.003236245954692557,0.007047049144181837,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,1,hallucination,1,0.003236245954692557,0.019368586108769553,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,happiness,1,0.003236245954692557,0.008316684816605009,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,happy,2,0.006472491909385114,0.00536173865326732,JJ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,1,harry,1,0.003236245954692557,0.0,NNP,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,1,haunt,1,0.003236245954692557,0.01802542268068268,VB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,havoc,1,0.003236245954692557,0.01802542268068268,NN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,heavens,1,0.003236245954692557,0.00894013167078752,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,1,hell,2,0.006472491909385114,0.007293929530629254,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,1,hesitation,1,0.003236245954692557,0.015412623580172636,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,hit,1,0.003236245954692557,0.002223988863977691,VBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,1,hoax,2,0.006472491909385114,0.048995829180135585,NN,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
0,1,hope,6,0.019417475728155338,0.012873107043153965,VBP,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,1,hopelessness,1,0.003236245954692557,0.015412623580172636,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,1,horrible,2,0.006472491909385114,0.00571750861584291,JJ,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,horror,1,0.003236245954692557,0.005008051117483797,NN,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0
0,1,hospital,2,0.006472491909385114,0.010457341734265843,NN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,1,hurricane,4,0.012944983818770227,0.08504667454150094,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,1,hurried,1,0.003236245954692557,0.0021067714273668397,VBD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,1,ignorant,1,0.003236245954692557,0.01802542268068268,JJ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,1,ill,2,0.006472491909385114,0.00131736824650571,NNP,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,1,immediately,5,0.016181229773462782,0.01961656316687482,RB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,imminent,1,0.003236245954692557,0.016132340154076996,JJ,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,impossible,2,0.006472491909385114,0.01157602520910219,JJ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,1,incredulous,1,0.003236245954692557,0.016132340154076996,JJ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
