term_str,0,1,2,3,4,5,6,7,8,9
split,-0.0025409188066727153,-0.004735079988571558,0.0029671289944869323,0.011350466830210269,-0.005607991576666697,0.011568116900614057,-0.0032316710174915904,0.019705468549990134,-0.002489512184987479,0.0035915107909651085
heavily,0.011687316110931045,0.003106620346236044,-0.006764297524897267,-0.011666176544866125,-0.027977098293376794,0.009736839210909676,0.031585528295548074,-0.023033083168264523,0.016398399716619043,0.011907407766391164
skin,0.007244826900859369,0.0012026902546912327,0.01745708830991904,0.029980259594091126,-0.022658440574083692,-0.011636052827808194,0.028706294730539476,0.026782239026174146,-0.04367713642924042,0.011503354278684149
normal,0.0035204377191567215,-0.004570548302676725,0.01802239979335235,-0.07310781348841605,0.030846972501135023,5.5050922159655125e-05,0.012829229952829958,-0.00589045259021298,0.0016392139708735903,0.03489922648785812
forest,0.04203789706455967,0.05309075309350497,-0.007032544614508557,0.1807489802078341,0.004428598208241912,0.18733160692882095,0.03688766673843126,-0.22764736986492948,0.10082948566315919,0.036830624030622136
snarled,0.00046628040277163756,0.017062215475728504,0.02484279394545022,-0.02047382995686725,0.005092333273866795,0.010712902175620681,0.06873117442819915,-0.0068502025400183075,-0.0012409655904262774,-0.003369546926531339
easy,0.009539986073093394,0.004409552400096467,-0.003910128653261846,0.004731280273475025,0.012159825157869567,0.01644205718528144,-0.015355599455254006,0.0022885025263614245,-0.020093854403236362,0.00047896226496083744
lessons,0.012232214468091512,-0.019977556427961674,-0.06807372823286406,-0.0026161645167884495,-0.06667971902659847,-0.0007584765753428924,0.027467783051937263,0.0011042339848557625,-0.0013772225833933588,0.015602589617933153
hanging,-0.0023595405652768304,0.00902875195500493,-0.005632692162996333,0.01197787346615281,-0.0038931720508901813,-0.0028821621152241572,-0.0057180660531770166,0.00036019803748923995,-0.0025533369612731234,-0.024593380325828453
eagerly,0.0121585929547387,-0.009462259382846512,-0.01988828304349477,-0.005591813301757231,-0.019229423883103808,-0.015444117504152644,0.0033430857843011474,-0.017926319982738026,0.023391830287567753,0.003952488336596085
twice,0.009752218904324886,-0.006329772671962727,-0.010700940095168643,-0.001121548040168896,0.008594482015354232,-0.034500022294735644,0.015156863188048403,0.0275413883085142,0.007149370264737304,-0.005168772982535028
softly,0.002360091604899462,0.00777810848264181,0.009315692084878952,0.02653012488991051,-0.06005109488864163,0.02370058269727271,0.022245613853387785,0.004514073737570956,-0.019209010319346777,0.010373122054733855
distant,-0.0016065333344344112,-0.0011847737456197535,-0.0013061148449782477,0.02400252383554413,0.0015978802518342716,0.0015193399975460542,-0.004401591892105192,-0.005157158859894095,-0.0038320053589711222,-0.003919277427609051
brightly,-0.00414411042259383,-0.004718544778796908,-0.00275941518463705,-0.031264387187264084,0.00207809349349658,-0.013242901737051116,-0.022006395959433822,-0.01408110649260809,0.010461341982782021,0.0003573037350007302
mention,0.004555011834956262,-0.016543986855922153,0.004647935472121344,-0.039571671371629265,-0.012942960871992482,0.0022363762409145505,-0.0044754115026385995,0.005447723617352795,0.010392667446704779,0.0271333243477009
deal,-0.004585428158071091,-0.023406991687635367,-0.01215536274898605,-0.004855826819151551,-0.0022014618652679008,-0.00577702706445915,0.008954282214829232,-0.013927791387539634,0.0142531904631568,0.01370689668911837
showing,0.0014964176553126517,-0.015779174630421274,-0.015248017043212764,-0.008319795551342674,-0.012851937047198884,-0.012747711281560409,-0.007497897344548851,0.02224922909742802,0.008981778601551312,0.010077487169491833
notice,-0.003945865568423724,-0.017271278202749464,-0.008195151501144502,0.001670278124959722,-0.008072653395041368,-0.0037831296621970434,0.015377584901597602,0.003523138871795853,-0.0038700682402326714,-0.0046164140927396485
note,0.016619898760991368,-0.01651956141228647,-0.037683403151343296,-0.03647864572465035,-0.016941953047715543,0.0574878837404639,0.01942844905017549,0.020281024196560436,0.013758070792513621,0.07103120549092021
facing,0.002214790558711413,0.013092611210137228,-0.0027854762716578276,0.0158299493234195,-0.013810987066159842,-0.010311707595971234,-0.0025499754680169406,0.011748462898376485,-0.009570151318836734,-0.01785889516146643
cast,0.009231999272427549,0.005551747990060665,0.015481481301256171,0.003271145219978407,-0.020513346113635617,0.011455438049417524,-0.00533912164085748,-0.001986197991773575,0.004459573318348113,-0.0024349743451671617
hung,0.00031210709921345266,-0.011733474439169209,0.001385615035831115,0.013563211248614423,0.006908201390573662,0.01986756388622941,0.01197414787169776,0.0200740065145378,0.007348523957940112,0.005161787073671806
shouldnt,0.0016399414656740078,0.0001394813539964214,-0.004174964382784047,-0.0013622544355565854,-0.003990174083771012,0.004846641391803441,-0.004057002140606059,0.013167610965246865,0.009248323725554009,0.016408758563680015
girls,0.0046754667469822726,-0.011905203546964204,-0.11905346773843727,-0.02600374276736252,-0.017101897196480975,0.00927917803013487,-0.05542461360496109,-0.04364094269551114,-0.14536192250640106,-0.04813107386194489
headed,0.0035024563184348325,0.003285984172923744,-0.027833559979612683,0.0090496329815637,0.03377481074256162,-0.004529483475771439,-0.0020453245025740113,0.005194006870503212,0.014008658940279861,0.015071420030956122
force,0.006728833358640744,-0.001818786781040796,0.005699587174171604,0.010538797750403502,-0.01859833932349991,0.032817899050451,0.030747718755759684,0.00787604227920181,0.007057954726990778,-0.02590792669709871
stuck,-0.0034084176224658392,0.010619218937954531,0.0015088274844428083,-0.009259368659489032,0.031838202548077295,-0.013492959324215407,0.008030678211214358,-0.018851261718494005,0.03263730508831647,-0.002452130842410305
fighting,-0.003397981612343558,0.025585846204476334,0.014643094373563459,0.031003391703127225,0.0008351453444536394,-0.0033593913223903854,0.0334516967081504,0.016433892091710076,-0.016564051171142707,-0.022378358073998017
check,0.0005321115437567789,0.010449688155587548,0.009213124921236599,-0.00043730904216075084,-0.013274116853277885,-0.005103168123658125,0.006534698812993244,0.010891641151545006,-0.015843607773619234,0.01092810690169943
frightened,-0.005842604511837156,0.0028804835567500546,0.016897395768616298,0.008084235220572259,-0.016450667874022266,9.951667677544286e-05,0.03818378930722771,0.008976915340941718,0.003895733852650733,-0.01069021586281299
particularly,-0.00487066497830315,-0.021430736206716653,-0.024603363587532758,-0.001267662523869275,0.0024995757145568924,0.005821652581440835,-9.526294931421658e-05,0.005645790123974393,0.008397020896146315,0.013302160113661254
flat,0.0010919513895494188,-0.00482954600868994,0.011892910463645696,0.004327638857422368,0.018365680612186144,0.0200201126412978,0.018405599864014764,-0.0023754092761025976,-0.030186300069888476,-0.00038117013704164204
thinks,0.0011092244342669978,-0.0026345839243767087,-0.017092118986820896,-0.01199487602542954,-0.011198460679082084,-0.006583937924533138,7.071713078557617e-05,-0.0043178256260015865,0.02500356487190048,0.025287022576933493
class,0.01968030587180366,-0.08282142772812498,-0.3256684595998677,-0.03197833932380378,-0.24676346923919096,0.1265587726757489,0.20856524467548593,0.03357279781809583,-0.15704154393279052,-0.0656764978891682
attack,0.0017418758059254524,0.005976606247569576,0.0027402952308959692,0.019245911104383544,-0.02400227126069595,0.0035420314046633464,0.021326407477801654,-0.009234631682467236,0.0006245217251169057,0.004457553716413696
memory,-0.007606549174622515,-0.06918763824684612,-0.020782515145505883,0.026916336351936257,-0.06683815814519134,0.02178323728368736,0.0012539263029704348,0.010105099849732357,0.04960191700551295,0.03651342909615078
fallen,-0.002427567088307965,0.010988556186500827,0.013152459668697701,0.031127341244454237,-0.005235265860632476,0.009152721632323457,0.018525530512257846,-0.010657844327602138,-0.004632391776471207,-0.002784030997760664
passing,-0.0018445627006408755,-0.01758370139272453,-0.01806401271554223,-0.012761392482266265,-0.01510604745885069,0.005766281998491279,0.009239083457487,-0.0036951039673711705,0.025560669211773492,-0.009758928751514098
faced,0.0010510712715279592,0.0033868504489290444,0.0038509812389098605,-0.012168045315192394,0.041242921910344656,-0.012168126749890915,-0.005350948827761701,-0.03240117799938972,0.018070444359117716,-0.010592102537500534
fixed,-0.003140784612389012,-0.004715758775793381,0.022856875177783887,0.016260623793520165,-0.0014917219525422572,0.009076537922161234,0.022522248061370882,0.01030204172834365,-0.00589070574577256,-0.019301014787667978
putting,-0.00195978910950332,-0.0030555775403889414,-0.03152391318471115,-0.016591431144026215,-0.009741226234687187,0.004068532166348564,0.015541021975297902,0.0030213449145399516,-0.00903785407882346,0.01033033746188768
scarlet,-0.001326145399945793,2.4236009322012888e-05,-0.01694381539462284,0.015734275890986648,0.020337493671913162,-0.007048065488866508,-0.013594217516423568,0.009179544688551632,-0.002446269150389836,-0.011632392602210492
nearest,-0.0014891391288239244,-0.0033888878115315947,-0.009482255051538203,0.011166680602141965,-0.0031500334864990116,-0.018123926579203926,0.013009512377213529,-0.011576893199222067,0.013777544494766683,-0.0181260077673716
eyebrows,0.0030371734022224045,-0.004425744691995545,-0.035490051354020606,-0.013566868098284696,-0.0439399592391398,0.007112572378666067,0.009732195669687338,-0.013547539943341205,0.00877486898145392,-0.020556844652921902
waved,0.002664008556057255,0.0036458706886153586,-0.003971990146538665,-0.017323241915036147,-0.0012582230354771346,-0.006029615640888487,-0.024055345728518574,0.004501240460549562,0.03055015155173524,-0.022498292759001292
excellent,-0.0027423412013189035,-0.011349512858698552,-0.05772635464354464,-0.012865911519724259,-0.007385969905262603,0.005818499389941106,0.017497929979008394,0.010055244344162585,0.0033376904393363706,-0.017740011840712056
leading,0.005897005017001725,0.0016082344731203695,0.00024626135078547706,0.014978225465252328,-0.009798572493446733,-0.007731904361618695,-0.01448699283219908,-0.0017610184381904154,0.005854288837364872,0.008104374025595043
falling,-0.004048181127333558,0.007613702123135431,0.0025896765659003617,0.028742413761484866,0.005363855093632883,-0.008225075761857057,0.008315073252864106,-0.012609031861971794,0.006804789203656807,-0.0017288409286575893
playing,-0.0013768682290836013,-0.001984774944751933,-0.06344438243997151,0.017154133862753017,0.04766672008119031,-0.005248153451075568,-0.0005178784327359323,0.0033145639487573743,-0.018117377571967807,0.022314222815121833
furious,0.011883378250011383,-0.008433984369460192,-0.011728352908588232,-0.017454263928726614,0.024925363391395373,0.01774719724768827,0.02276449763632829,-0.013240430594794366,0.01038730553887094,-0.0018691865406312534
determined,-0.0030729639426608107,-0.002622349332883831,-0.00884618599269299,0.00015882689108830274,-0.03209450818423567,0.011605945366057089,0.0001584957902729921,-0.014323629235251703,-0.009964139619443481,0.021655021741965923
problem,0.0034541399965497357,0.008114314764439244,-0.00993516055731655,-0.000923345232458248,-0.0005149485589980287,-0.004197448998820259,-0.010001427532894304,-0.03131837079453739,0.000372642537019661,0.026451786115059453
muttering,0.00035913634403426833,-0.003512735029340301,-0.025488240628858135,0.007015879368492026,0.004331203328715828,0.0025456119649070017,0.027801326145151028,0.008540813469131997,0.023883990259007507,0.010748895633693033
send,0.003522581458970059,0.005400822484031674,-0.0009974297669441403,-0.03263119072705827,0.03995014241768523,0.006670972117770052,-0.026753648883320037,0.012351459732678625,-0.016562141354885884,0.027199186659705554
son,-0.0009202704528222892,0.002195312065646698,0.07851036239403479,-0.07860949280499359,0.03548683399891389,0.011349070637422734,0.05271152929715819,-0.0039627616025973995,-0.011357585036397005,-0.00790310912184329
touch,0.004226648029931735,0.006892162442040485,0.02063788364496798,0.0095177566664994,-0.0047041420796412195,0.05206713235764159,-0.014436304344493852,0.027757145683591687,0.017823568286712367,0.031750268893611294
bet,0.00197981324216048,0.001638002167386985,-0.04068600024565845,-0.023337655919994378,0.03577992968755394,-0.0003147810044066967,-0.007350095015681771,0.001129198726605027,0.011538638373701782,-0.0022107151605604775
information,-0.0019189754395526905,0.0045597074846002875,0.027558313130877803,0.0038108616977607624,-0.03960941424843516,-0.0017408685095969606,0.01833187530284729,0.005910093833126486,0.0065464393919218815,0.0335659850314278
further,0.0034340904821201414,-0.010025139543147045,-0.00042368433002113815,0.017890576482949387,-0.01927016895134288,-0.005819227586398859,0.014048545929907964,-0.05868554177201712,0.041152520642646524,0.017671428092433956
summer,-0.004071244741825274,0.011959480833518695,0.017299039496060018,-0.11403457994633821,0.026377612569754745,0.0006932213694508032,-0.0005798592431617447,-0.02668744355706758,0.003903623781332673,0.07314964500477807
letter,0.026626761408748086,-0.05025866823100926,0.04212070128424107,-0.24278526156606642,0.10664649087945252,0.04013747599228232,0.06475025118075188,-0.15425064351110468,-0.11341537109388575,0.06759857454905605
busy,-0.0025210693292223945,-0.0031551304993479895,-0.01928654485138645,-0.024151279890524062,0.017858459323471503,-0.0021180128266924995,-0.019167950685203775,0.0030985131980116004,0.002057026582776638,0.0007001414002240263
handed,-0.007213409283798601,-0.0337922413147884,-0.016962402677497723,-0.0008193895643795503,-0.012778569208583859,0.0029449167807249553,0.008001392259181056,0.008982763464358029,-0.00048574956885075925,-0.007462438356084842
bottle,0.003593944632217867,-0.02771320299911766,-0.011830760613711874,-0.021229672487933202,-0.023530294370489778,0.030452538833516004,-0.006801174723754764,0.004568512042860079,0.006431953191318365,0.0019474586907197548
cut,-0.0015686987164728549,-0.003945513915048423,0.011395530989352668,-0.009802079003198018,-0.017696668903389803,0.03280645522304262,0.04768191144617182,0.014575618795953375,-0.030775219193876817,-0.007981631317770844
definitely,-0.0028695725401789375,-0.009129824807450893,-0.015687492685507724,-0.016872224080862416,-0.01573264604481877,0.00205945243870055,0.011852296635437657,0.003946135592266353,0.006523436081671584,0.00553901660851098
asking,0.004217706019783486,-0.012313545782729734,1.7790874249379462e-06,-0.004162964115610326,0.0011727347766552062,-4.8889620133789554e-05,0.0029790159203833496,-0.02103498085381716,-0.007258968727466736,-0.012562608407164666
anger,0.007512021281143156,0.0034018619332335013,0.014050723051391465,-0.01196217032026211,-0.00567936954570203,0.02447094070419615,0.00795599831210001,-0.025556110768062294,0.022478900029971955,0.007978243412024452
unable,-0.003109963301407591,0.009413477419565702,0.0025420871667588005,0.011969119339299443,-0.011202250983804054,0.011136951601481634,0.006242782015809113,-9.364448550194847e-05,0.004419116877715383,0.0011653459149171537
sideways,0.00247005586514342,0.0166684457267695,0.01233633861824645,0.015707589734915997,-0.0015628858085446316,0.004935230886264335,0.009950163125011445,-0.009757918917139586,0.010863654983818246,-0.039884042592845614
leaned,0.0030033179938575624,-0.009017660548411419,-0.011803171484919432,-0.005137128143440886,0.003637233200953871,-0.02511838531577209,-0.0034222864803204593,0.01485099192912472,0.039857468247135514,-0.008201016859992027
picture,-0.004915801422334217,0.00913371867175323,0.0054200274042906895,-0.043721033281279416,-0.012184143831025663,0.006321869891153625,0.022817564598143634,0.006332442819331305,-0.007181763702216277,0.03268251812643276
growing,-0.004487707713276085,-0.004256624718772413,0.016305498164472822,0.012127869545736976,-0.004665004680802702,-0.001192919586155371,0.031477699637561585,-0.012674390540945754,-8.077867743947324e-05,-0.013945846542691157
reading,-0.006193650568967223,-0.019110437110915847,-0.01673649667077959,-0.03329609789790021,-0.01306756112588269,0.006700915042944046,0.020700320452129668,0.0006312961758252657,0.018944379893773716,0.012194508948243619
pass,0.006686368770500655,-0.005921514145292162,-0.025776500922902252,0.011240989905634756,-0.021506706770951043,-0.009712075307415975,0.003981583576896711,0.00739886318153448,0.0008103925799063277,-0.0010198736691614699
beaming,0.008344928392366186,-0.017837767819057975,-0.009341816503625934,-0.012435720720446172,-0.012776094175558141,-0.0010543735841592637,-0.01475200711635621,-0.01110405568395619,0.028333249822302724,-0.0028967302814439278
line,-0.006991553636990707,-0.01523542528774461,-0.021263609284445546,-0.02370873455429313,-0.04059585642755965,-0.013396157314917275,-0.014639480427551553,0.001742605863924659,0.01311903738757495,-0.025143924045970413
earth,0.005882879441714365,0.010065404744162062,-0.004890640886148466,0.004176773542371024,0.007407244430122948,0.014455457471590535,0.0020622583444365604,-0.0325676302340646,0.011145183389251563,0.007341868115610318
itll,0.008392610081425946,-0.005425962440209633,-0.013695587580363744,-0.00036663759764271424,0.017491296759356047,-0.0025951286453524324,-0.01811641417078814,-0.014276763153313637,-0.004506516805397804,-0.0074289386780370765
match,0.008608221865405321,-0.0163690882927808,-0.15875354864071667,0.11669270585352752,0.21668794241158063,-0.010497501944246623,-0.002813637093726056,0.025723534655567974,0.021463458456196686,0.1024131780336287
luck,0.003968270713414145,-0.004559544392968417,-0.02571613370772894,0.00723432449922516,0.02198511739298231,0.01949467776403979,-0.006675195918467944,0.0028558409241485477,0.002436607298567066,0.0029092347529370544
dare,0.014179618674820689,0.012632794827201515,0.033795272234642376,0.004626898577244261,0.014665698652582895,0.02753959233703218,0.04992227459836283,0.01670092155304366,-0.017860430639589114,-0.00041563961364353636
term,0.011566894787216992,-0.01629629273360871,-0.05507092943123052,-0.023224188606832688,-0.008768860285928489,-0.006346122908605954,-0.003609553099483111,-0.009302381256439172,-0.001137896585979365,-0.02302727263928323
lips,-0.0020258190929719586,0.002821597867781576,-0.006662767496008005,0.005476829970060686,-0.0037212687472126357,0.006117417842223389,0.005610236587254717,0.011998835526904039,-0.00012918086964704536,0.005107364586936504
eh,0.021993587680802798,0.0026748798561210653,-0.018312439260650796,-0.026185020713020153,0.010905520392423254,0.012016850891696403,-0.009070839447860801,-0.01050391758488831,0.02299323447315185,-0.030642017405720645
somehow,0.004563662906914873,-0.014115162614164335,0.00729917292778443,-0.02258019796853377,0.012885255439195071,0.020203356246819973,-0.0016586015659971738,0.01262951023714272,-0.0051457149453527935,0.006263276358305411
living,-0.005601377322578182,0.010091150870900093,0.0668318864283555,-0.08145840373794538,0.02299227548994404,0.0212589648450088,0.03815429024639524,-0.03130750409596111,-0.039533766146427965,0.04451725135960305
pretty,0.006544978732554084,-0.010894834608642202,-0.02255394451573296,0.004846346019768298,-0.018864498982672385,-0.011270860276827315,-0.02582413009731779,-0.007840180679558143,-0.02196386189930647,0.013663906173995675
